amp,method,sat,sat_percent,rho
0.0,PPO,1.0,100.0,0.022297358389332615
0.0,PPO+CONF,0.0,0.0,-0.008147451787227082
0.0,PPO+GENAI,0.0,0.0,-0.006078901694561828
0.04,PPO,1.0,100.0,0.022084113367469887
0.04,PPO+CONF,0.2,20.0,-0.00022205993962977967
0.04,PPO+GENAI,0.4,40.0,-0.004082337456209955
0.08,PPO,1.0,100.0,0.02188013527378005
0.08,PPO+CONF,0.4,40.0,-0.0015586633326115777
0.08,PPO+GENAI,0.2,20.0,-0.0019662446702426463
0.12,PPO,1.0,100.0,0.021336754717668736
0.12,PPO+CONF,0.4,40.0,-0.0003451207433321175
0.12,PPO+GENAI,0.0,0.0,-0.010395575863462122
0.16,PPO,1.0,100.0,0.02135193127318661
0.16,PPO+CONF,0.4,40.0,-0.0015736385431509125
0.16,PPO+GENAI,0.0,0.0,-0.007803494566222818
